Tiêu đề,Tên công ty,Mức lương,Địa điểm,Mô tả,Tên công việc,Ngày ứng tuyển
"Chuyên Viên Kinh Doanh (LCB 8-15 Triệu, Không Đạt Kpi Vẫn Nhận Đủ Lương)  Công Ty Cổ Phần Kinh Doanh và Đầu Tư Đất Xanh Miền Trung","Chuyên Viên Kinh Doanh (LCB 8-15 Triệu, Không Đạt Kpi Vẫn Nhận Đủ Lương)  Công Ty Cổ Phần Kinh Doanh và Đầu Tư Đất Xanh Miền Trung",Mức lương8 - 30 triệu,Địa điểm Cẩm Lệ   Hải Châu   Liên Chiểu   Ngũ Hành Sơn   Sơn Trà   Thanh Khê,"Tham gia đầy đủ các buổi đào tạo (có lương) cập nhật kiến thức về BĐS, sản phẩm, tài chính, thị trường...Tìm kiếm khách hàng mới thông qua các kênh như: Quảng cáo, Facebook, Website,...(Được đào tạo, hỗ trợ chi phí 70%)Nắm bắt nhu cầu của khách hàng, tư vấn, đàm phán, ký hợp đồng với khách hàng và hỗ trợ các thủ tục sau mua bán. (có quản lý hỗ trợ tư vấn và kèm cặp)Duy trì mối quan hệ tốt với các đối tác, khách hàng hiện tại và khách hàng tiềm năng theo data có sẵn từ công ty.Phối hợp với đội nhóm để thúc đẩy tăng doanh số bán hàng chung và báo cáo các hoạt động theo ngày, tuần, quý.Thực hiện các công việc liên quan đến lĩnh vực kinh doanh theo chỉ đạo của cấp trên",,
,Công Ty Cổ Phần Kinh Doanh và Đầu Tư Đất Xanh Miền Trung,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Kinh Doanh và Đầu Tư Đất Xanh Miền Trung,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Đầu Tư & TMDV Richta House,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Dịch Vụ và Đầu Tư Bất Động Sản Phố Xanh Group - Chi Nhánh Đà Nẵng,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần LANDMART REALTY,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công ty Cổ phần Giải pháp Công nghệ Bất động sản và Đầu tư RETI,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Bất Động Sản Trust Land,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty TNHH Thương Mại Và Đầu Tư SRT Miền Trung,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Kinh Doanh và Đầu Tư Đất Xanh Miền Trung,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Dịch Vụ và Đầu Tư Bất Động Sản Phố Xanh Group - Chi Nhánh Đà Nẵng,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Kinh Doanh và Đầu Tư Đất Xanh Miền Trung,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Regal Group,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Dịch Vụ Funi BamBoo,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Bất Động Sản Phoenix Property,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
,Công Ty Cổ Phần Đầu Tư Phát Triển Navi,Không rõ mức lương,,,Không có tên công việc,Không rõ ngày ứng tuyển
